,CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
205,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-25,136,Unhealthy for Sensitive Groups,Ozone,06-037-6012,20
206,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-26,119,Unhealthy for Sensitive Groups,Ozone,06-037-6012,20
207,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-27,161,Unhealthy,Ozone,06-037-6012,21
208,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-28,93,Moderate,Ozone,06-037-6012,20
209,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-29,77,Moderate,Ozone,06-037-9033,20
210,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-30,71,Moderate,Ozone,06-037-9033,21
211,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-31,105,Unhealthy for Sensitive Groups,Ozone,06-037-9033,20
212,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-08-01,93,Moderate,Ozone,06-037-6012,20
213,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-08-02,150,Unhealthy for Sensitive Groups,Ozone,06-037-6012,21
214,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-08-03,140,Unhealthy for Sensitive Groups,Ozone,06-037-6012,20
215,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-08-04,136,Unhealthy for Sensitive Groups,Ozone,06-037-0016,20
216,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-08-05,87,Moderate,Ozone,06-037-6012,21
217,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-08-06,71,Moderate,Ozone,06-037-9033,20
218,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-08-07,74,Moderate,Ozone,06-037-9033,20
219,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-08-08,67,Moderate,Ozone,06-037-9033,20
220,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-08-09,77,Moderate,Ozone,06-037-9033,19
221,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-08-10,101,Unhealthy for Sensitive Groups,Ozone,06-037-6012,19
222,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-08-11,115,Unhealthy for Sensitive Groups,Ozone,06-037-6012,20
223,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-08-12,151,Unhealthy,Ozone,06-037-6012,19
224,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-08-13,169,Unhealthy,Ozone,06-037-6012,19
225,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-08-14,166,Unhealthy,Ozone,06-037-1201,21
226,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-08-15,172,Unhealthy,Ozone,06-037-6012,20
227,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-08-16,172,Unhealthy,Ozone,06-037-6012,20
228,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-08-17,100,Moderate,Ozone,06-037-0016,21
229,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-08-18,129,Unhealthy for Sensitive Groups,Ozone,06-037-6012,20
230,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-08-19,100,Moderate,Ozone,06-037-6012,20
